NTN,Question_1,Answer_1,Option_1_A,Option_1_B,Option_1_C,Option_1_D,Question_2,Answer_2,Option_2_A,Option_2_B,Option_2_C,Option_2_D
1,"Fill in the blank. ""I trust that you have everything _____ so there won’t be any problems?”",booked,planned,booked,prepared,organized,What was happening on the weekend that led to the boys cancelling their plans?,A triathlon,A music festival,A triathlon, A carnival,A film festival
2,Who is the professor who challenged the design of the students?,Prof. Johnson,Prof. Johnson,Prof. Jerome,Prof. Jeremy,Prof. Jack,"Fill in the blank. ""My old man owns a _______ store and he already told me he would love to help us out.”",hardware,grocery,book,hardware,clothing
3,"What does toasting the bread help achieve, according to the Chef?",Increase jelly sweetness,Change the color of peanut butter,Increase jelly sweetness,Helps stack the sandwich,Makes it crunchy,What kind of breads were compared?,Wheat vs. Rye,White vs. Whole Wheat, Rye vs. Sourdough,Wheat vs. Rye,White vs. Sourdough
4,Who recommended the breakfast place to the diner?,A cousin,An influencer,A colleague,A friend,A cousin,What aspect of the restaurant does the customer highlight to the chef?,The restaurant's affordability,The expensive menu items,The restaurant's affordability,The limited menu options,The location of the restaurant
5,How does the man describe the fort?,As a relatively sturdy construction despite limited resources.,As a fragile and poorly constructed structure.,As a modern marvel of engineering.,As an inexpensive project completed quickly.,As a relatively sturdy construction despite limited resources.,Who contributed the most in building the forts?,volunteers,volunteers,contractors,architects,local residents
6,What advice is the speaker giving to Mrs. Elizabeth regarding her actions?,To be cautious and stop talking to the press about the case.,To continue talking to the press for better public relations.,To consult with other legal counsel.,To request a shorter jail sentence.,To be cautious and stop talking to the press about the case.,Fill in the blank. “They caught me as I was coming out of the ______ store and started asking me all of these questions.”,grocery,grocery,book,hardware,clothing
7,How far is the repair shop for the lawn mower?,10 miles,a mile,5 miles,10 miles,20 miles,"Fill in the blank. ""I know that your _______ can be really annoying about how you keep your lawn manicured.”",neighbors,neighbors,friends,family,landlord
8,Fill in the blank. “How do they expect people to have a nice and relaxing ______ when they can’t find any turkeys to cook?”,holiday,holiday,thanksgiving,feast,dinner,Who is being blamed for not being able to find turkeys?,the lady,the grocery store,the turkeys,the man,the lady
9,What did the war victory help achieve?,economic stability and prosperity,cultural enrichment,economic stability and prosperity,social harmony and unity,technological advancements,"Fill in the blank: “I saw that there was a _______ about the war, but didn’t look any deeper than that.”",metaphor,parable,reference,message,metaphor
10,"In addition to the bread, what did the lady also grab from the bakery?",dessert cakes,croissants,coffee,dessert cakes,donuts,What was the reaction of the man to the bread?,He was feeling both satisfied and conflicted.,He was unhappy and disappointed.,He was eager to share the bread.,He was feeling both satisfied and conflicted.,He found it sour. 
11,What is the plan for the farming equipment if there's no interest in farming?,Auction it,Rent it out,Donate it,Auction it,Hold on to it,"Fill in the blank. ""I don’t currently have any plans to farm, but I could see myself on top of a ______ one day.”",tractor,seeder,tractor,harvester,truck
12,Where did the first lady in the conversation reserve the seats?,Close to the front,Close to the front,In the VIP section,In the gallery,In the middle section,"Fill in the blank. ""We use _____ so often that when you see a story told without them, it’s touching.”",words,expressions,words,gestures,narratives
13,What happens when a dog is only on leash during stressful times?,The dog becomes agitated and stressed.,The dog becomes more relaxed and obedient.,The dog becomes agitated and stressed.,The dog becomes less responsive to training.,The dog remains neutral and unaffected by the leash.,How did the dog's relationship with the leash change?,It improved and became less associated with negative activities.,It became more negative over time.,The leash became unnecessary for training.,It didn't change at all.,It improved and became less associated with negative activities.
14,What is the customer’s tone?,Apologetic and understanding,Aggressive and confrontational,Apologetic and understanding,Indifferent and dismissive,Excited and enthusiastic,What was the reason provided by the restaurant staff for the sandwich hiccup?,A switch to a new supplier,A transportation problem with food deliveries,A switch to a new supplier,A technical issue with the cooking equipment,A change in the restaurant's menu
15,What animal is the lion's circling behavior compared to?,dog,dog,cat,elephant,horse,What is the lion usually seen playing with?,A bouncy ball,A rubber tire,A bouncy ball, A rope toy,A stuffed animal
16,What's the suggestion of the plumber?,To remove and replace the sink,To hire a different plumber,To remove and replace the sink,To fix the rusty pipes,To repair the sprinkler system,What’s the response of the customer to the plumber offering a second opinion?,The customer declines the second opinion and expresses trust in the plumber's judgment.,The customer agrees to seek a second opinion.,The customer requests a discount for the repair before agreeing to a second opinion.,The customer declines the second opinion and expresses trust in the plumber's judgment.,The customer decides to consult with a neighbor before making a decision.
17,Where did the son run the red light?,Downtown,Downtown,Near the school,On the highway,In a residential neighborhood,Where was the son headed to when he ran the red light?,To class,To a friend's house,To class,To a restaurant,To a job interview
18,What did Rebecca organize because of which she is being praised?,A coat drive,A science fair,A coat drive,A field trip,A sports event,What is Rebecca’s goal as a nominee?,To inspire and help others in school achieve their best.,To demonstrate her superiority over other nominees.,To inspire and help others in school achieve their best.,To gain popularity and recognition among their peers.,To focus on self-promotion. 
19,"Fill in the blank. ""I’ve heard there are a lot of things to do there, but I think there’s just so much to do that I’m getting _______.”",overwhelmed,overwhelmed,anxious,stressed,tired,Which one of the following activities was suggested by the second speaker?,Attending a show,Trip to the beach,Attending a show,Visiting museums,Dining at local restaurants
20,,,,,,,,,,,,
21,What did the manager ask the employee to do?,Find the newest version of the book for a final review.,Rename the files of the book.,Find the newest version of the book for a final review.,Make revisions to the book.,Find the oldest version of the book.,What reason does the employee state for not brining the right version of the book?,The multiple revisions and file renaming made it hard.,The book went missing.,He was waiting on revisions from his colleagues.,The revised file was accidentally deleted.,The multiple revisions and file renaming made it hard.
22,What does the first lady in the conversation plan to have on the back porch swing on a warm summer afternoon?,A glass of iced tea and a relaxing song on the radio.,A glass of lemonade and a good book.,A bowl of ice cream and a crossword puzzle.,A glass of iced tea and a relaxing song on the radio.,A plate of cookies and music.,How many other houses on the block also have a porch swing?,none,none,one,two,three
23,What is the initial reaction after tasting the soup?,Delight,Disappointment,Indifference,Confusion,Delight,What does the person tasting the soup suggest adding?,Sugar,Salt,Pepper,Sugar,Cilantro
24,What does the daughter intend to do if her mom doesn't solve the mice problem?,Leave the house,Leave the house,Call an exterminator,Set up mouse traps,Clean the house,What is the mom’s reaction?,She doesn't believe Jessica and thinks it's just a story.,She calls an exterminator.,She plans to move out of the house.,She doesn't believe Jessica and thinks it's just a story.,She asks Jessica to find the mouse herself.
25,"Fill in the blank. ""I hope this won’t reflect poorly on my _______ next week.""",review,review,promotion,performance,evaluation,What does the boss tell the employee?,that the employee will receive a raise,that the employee is fired,that the employee is warned,that the employee will receive a raise,that the employee needs to start early
26,,,,,,,,,,,,
27,,,,,,,,,,,,
28,,,,,,,,,,,,
29,,,,,,,,,,,,
30,Lydia’s father pushes her to be the best in a number of things. Which of the following was not mentioned?,Art,Art,School,Sports,Competitions,"Fill in the blank. ""The one trait of hers that I value the most is her _______ for learning.”",enthusiasm,fascination,dedication,zeal,enthusiasm