NTN,G1,G2,G3,G4,G5,Difficulty,Attend Direction,Background,BG Difficulty,Switch Time,Before/After Talker Transition,Comments,Condition,AAD Status,"(M, M)","(M, F)","(F, M)","(F, F)",SUM CHECK,TO KEEP,BegAADOff
2,M,M,F,F,F,Easy,2,Pedestrian,1,,,,No Switch,1,0,2,2,0,4,1,1
9,F,M,F,M,F,Medium,2,Pedestrian,1,,,End Diff,No Switch,1,1,0,2,1,4,1,1
7,F,M,M,M,M,Medium,2,Pedestrian,1,,,End Same,No Switch,1,2,0,2,0,4,1,1
1,M,M,M,M,M,Hard,2,Pedestrian,1,,,,No Switch,1,4,0,0,0,4,1,1
30,F,F,F,F,F,Hard,2,Pedestrian,1,,,,No Switch,1,0,0,0,4,4,1,1
18,F,F,M,M,M,Easy,1,Pedestrian,1,,,,No Switch,1,0,2,2,0,4,1,1
22,F,F,M,M,M,Easy,1,Pedestrian,1,,,,No Switch,1,0,2,2,0,4,1,1
3,M,F,M,M,M,Medium,1,Pedestrian,1,,,End Diff,No Switch,1,2,2,0,0,4,1,1
15,F,M,M,M,M,Medium,1,Pedestrian,1,,,End Same,No Switch,1,2,0,2,0,4,1,1
12,F,F,F,F,F,Hard,1,Pedestrian,1,,,,No Switch,1,0,0,0,4,4,1,1
23,M,M,M,M,M,Hard,1,Babble,1,,,,No Switch,1,4,0,0,0,4,1,1
24,F,F,F,F,F,Hard,1,Babble,1,,,,No Switch,1,0,0,0,4,4,1,1
4,M,F,M,F,M,Medium,1,Babble,1,,,End Diff,No Switch,1,1,2,0,1,4,1,1
14,M,F,F,F,F,Medium,1,Babble,1,,,End Same,No Switch,1,0,2,0,2,4,1,1
19,M,M,F,F,F,Easy,1,Babble,1,,,,No Switch,1,0,2,2,0,4,1,1
25,M,M,M,M,M,Hard,2,Babble,1,,,,No Switch,1,4,0,0,0,4,1,1
13,M,F,M,M,M,Medium,2,Babble,1,,,End Diff,No Switch,1,2,2,0,0,4,1,1
16,F,M,F,F,F,Medium,2,Babble,1,,,End Diff,No Switch,1,0,0,2,2,4,1,1
21,M,M,F,F,F,Easy,2,Babble,1,,,,No Switch,1,0,2,2,0,4,1,1
11,F,F,M,M,M,Easy,2,Babble,1,,,,No Switch,1,0,2,2,0,4,1,1
17,M,M,F,F,F,Easy,2,Pedestrian,1,22,A,,Switch,1,0,2,2,0,4,,
20,F,F,M,M,M,Easy,2,Pedestrian,1,21,B,,Switch,1,0,2,2,0,4,,
8,F,M,M,F,M,Medium,2,Pedestrian,1,23.5,A,End Same,Switch,1,1,0,2,1,4,,
26,F,F,F,F,F,Hard,1,Pedestrian,1,19.5,B,,Switch,1,0,0,0,4,4,,
27,M,M,M,M,M,Hard,1,Pedestrian,1,24,A,,Switch,1,4,0,0,0,4,,
5,M,F,F,M,F,Medium,1,Babble,1,20,A,End Same,Switch,1,1,2,0,1,4,,
28,F,F,F,F,F,Hard,2,Babble,1,17.5,B,,Switch,1,0,0,0,4,4,,
29,M,M,M,M,M,Hard,2,Babble,1,22,A,,Switch,1,4,0,0,0,4,,
10,F,M,F,F,F,Medium,2,Babble,1,22.5,A,End Diff,Switch,1,0,0,2,2,4,,
6,M,F,F,F,F,Medium,2,Babble,1,21,A,End Same,Switch,1,0,2,0,2,4,,